"id","order_id","product_id","product_name","quantity","unit_price","line_total","created_at","updated_at"
"3717fc75-db90-4f40-9414-316c56786648","813442f1-cfc6-45bc-9a82-3d1a63068328","p007","Tirzepatide 60mg","1.00","135.00","135.00","""2026-03-18T20:20:09.046Z""","""2026-03-18T20:20:09.046Z"""
"3995ca85-47d3-4840-a3d7-30b3a0327c8d","813442f1-cfc6-45bc-9a82-3d1a63068328","p019","BAC water 10ml","1.00","25.00","25.00","""2026-03-18T20:20:09.046Z""","""2026-03-18T20:20:09.046Z"""
"3a661136-729b-428b-aeb8-7a13b92c3a20","3a5df063-138c-4498-bef2-6d733ca93ea2","p007","Tirzepatide 60mg","1.00","135.00","135.00","""2026-03-18T20:20:08.930Z""","""2026-03-18T20:20:08.930Z"""
"3a9a5708-d9dc-4db2-881e-4281149d5159","c67237d3-15ca-4487-b138-43c30d2e1df0","p011","Retatrutide 30mg","1.00","155.00","155.00","""2026-03-18T20:20:08.877Z""","""2026-03-18T20:20:08.877Z"""
"3c3a64e9-a589-43ce-9814-09f0ff0b4537","cf6314ad-7e40-4b9a-bf6f-0d95d4db46ca","p062","Selank 10mg","0.50","55.00","27.50","""2026-03-18T20:20:09.029Z""","""2026-03-18T20:20:09.029Z"""
"40054837-f7a7-4f85-973e-13f19b8cbf10","8fee86d5-5f56-462a-bc6f-354c2bcdc90e","p100","Glutathione 1500mg GMP 20ml 10vials","1.00","85.00","85.00","""2026-04-01T14:14:29.360Z""","""2026-04-01T14:14:29.360Z"""
"4145ca62-655b-4907-b918-92b19f619100","56b0fc96-fb0a-4894-90e6-b0155adc13b2","p109","Cartalax 20mg","2.00","120.00","240.00","""2026-03-25T14:56:25.607Z""","""2026-03-25T14:56:25.607Z"""
"436d8e7e-165a-427d-8588-d79ea3642cd0","208c5098-466d-41e8-9f75-0218fbf1db3f","p073","CJC No DAC / Ipa 10/10mg","1.00","75.00","75.00","""2026-03-18T20:20:09.013Z""","""2026-03-18T20:20:09.013Z"""
"442dcf53-d49f-4aae-8bcd-670f2fa531dd","c427c53f-7a6f-4f99-87c4-e9e6224a68f7","p089","KLOW (TB 10mg + BPC 10mg + KPV 10mg + GHK 50mg)","1.00","160.00","160.00","""2026-03-22T21:07:38.412Z""","""2026-03-22T21:07:38.412Z"""
"4497d20f-3d7f-4745-887c-663e197147df","3f1e6f0a-d1fa-474e-a8ea-68c90fc1d9a1","p007","Tirzepatide 60mg","2.00","135.00","270.00","""2026-03-18T20:20:09.108Z""","""2026-03-18T20:20:09.108Z"""
"45c794c4-4fd6-4b46-92e9-dd4110442553","387da382-1cae-4e68-a960-1241775d3493","p089","KLOW (TB 10mg + BPC 10mg + KPV 10mg + GHK 50mg)","0.50","160.00","80.00","""2026-03-20T22:56:00.982Z""","""2026-03-20T22:56:00.982Z"""
"463af238-9730-4bad-8817-77ad8bfe2bd8","0581d320-40f1-40e7-9adb-cd05ffaabda1","p097","HCG 2000 IU GMP 3ml 10vials","2.00","70.00","140.00","""2026-03-18T20:20:09.024Z""","""2026-03-18T20:20:09.024Z"""
"467ce838-dfaf-480d-a34f-14696d6f7d0e","0581d320-40f1-40e7-9adb-cd05ffaabda1","p024","HGH 10IU","2.00","50.00","100.00","""2026-03-18T20:20:09.024Z""","""2026-03-18T20:20:09.024Z"""
"484f62f2-6d88-4b35-a574-2f7836c2f7a2","03a194ac-176f-45d5-9f81-6a28e7f17c0c","p078","GHK-CU 100mg","1.00","51.00","51.00","""2026-03-30T15:48:06.049Z""","""2026-03-30T15:48:06.049Z"""
"49905944-d007-48ab-92fa-1740fe09d17c","56b0fc96-fb0a-4894-90e6-b0155adc13b2","p019","BAC water 10ml","1.00","25.00","25.00","""2026-03-25T14:56:25.607Z""","""2026-03-25T14:56:25.607Z"""
"4a08f43f-5e37-4006-81a9-598417d5687f","a22f7966-b42d-4cab-81c3-c94983f0e590","p050","Tesamorelin 20mg","1.00","220.00","220.00","""2026-03-18T20:20:09.102Z""","""2026-03-18T20:20:09.102Z"""
"4a270bed-67b4-4790-8f5a-732954769505","56b0fc96-fb0a-4894-90e6-b0155adc13b2","p052","Mots-C 20mg","1.00","95.00","95.00","""2026-03-25T14:56:25.607Z""","""2026-03-25T14:56:25.607Z"""
"4d637ad8-4249-4a47-880b-da8479d34096","c427c53f-7a6f-4f99-87c4-e9e6224a68f7","p042","Melanotan II 10mg","2.00","40.00","80.00","""2026-03-22T21:07:38.412Z""","""2026-03-22T21:07:38.412Z"""
"4db20f36-809f-4155-bca7-9834b05e03ed","b096c66d-5870-4010-9511-45e13727908c","p009","Retatrutide 10mg","1.00","95.00","95.00","""2026-03-18T20:20:08.995Z""","""2026-03-18T20:20:08.995Z"""
"4e8bc9f3-2b8b-4767-bc18-0deadc67da08","1b975899-08c0-439c-b0bb-b65f0092d0aa","p012","Retatrutide 40mg","1.00","165.00","165.00","""2026-04-02T20:00:02.135Z""","""2026-04-02T20:00:02.135Z"""
"4eb3dda1-39de-45ea-92cf-8a897ba026ac","8fee86d5-5f56-462a-bc6f-354c2bcdc90e","p052","Mots-C 20mg","1.00","95.00","95.00","""2026-04-01T14:14:29.360Z""","""2026-04-01T14:14:29.360Z"""
"4fe69f81-1564-4abd-b8ac-7f9a3155d694","c0a3135e-928e-4285-8916-e1f7ed71e04b","p058","Thymosin Alpha-1 10mg","1.00","125.00","125.00","""2026-03-21T17:27:18.086Z""","""2026-03-21T17:27:18.086Z"""
"505b9975-1699-4bd7-8aed-419855c8e106","7522e0b8-cf16-40ef-aff9-9b3180098433","p012","Retatrutide 40mg","1.00","165.00","165.00","""2026-03-29T22:49:15.987Z""","""2026-03-29T22:49:15.987Z"""
